id,created_at,name
1,2024-06-14 16:20:11.675559+00,Amazon Devices
2,2024-06-14 16:20:11.675559+00,Amazon Fashion
3,2024-06-14 16:20:11.675559+00,Appliances
4,2024-06-14 16:20:11.675559+00,Beauty
5,2024-06-14 16:20:11.675559+00,Books
6,2024-06-14 16:20:11.675559+00,Car & Motorbike
7,2024-06-14 16:20:11.675559+00,Clothing & Accessories
8,2024-06-14 16:20:11.675559+00,Collectibles
9,2024-06-14 16:20:11.675559+00,Computer & Accessories
10,2024-06-14 16:20:11.675559+00,Electronics
11,2024-06-14 16:20:11.675559+00,Furniture
12,2024-06-14 16:20:11.675559+00,Garden & Outdoors
13,2024-06-14 16:20:11.675559+00,Health & Personal Care
14,2024-06-14 16:20:11.675559+00,Home & Kitchen
15,2024-06-14 16:20:11.675559+00,Jewellary
16,2024-06-14 16:20:11.675559+00,Luggage & Bags
17,2024-06-14 16:20:11.675559+00,Luxury Beauty
18,2024-06-14 16:20:11.675559+00,Musical Insruments
19,2024-06-14 16:20:11.675559+00,Office Products
20,2024-06-14 16:20:11.675559+00,Pet Supplies
21,2024-06-14 16:20:11.675559+00,Shoes
22,2024-06-14 16:20:11.675559+00,Handbags
23,2024-06-14 16:20:11.675559+00,Sports & Fitness
24,2024-06-14 16:20:11.675559+00,Tools & Home Improvements
25,2024-06-14 16:20:11.675559+00,Toys & Games