city,state,country,lat,lon
Waterloo,IA,USA,42.499504,-92.358665
Sioux City,IA,USA,42.495132,-96.400070
Ottumwa,IA,USA,41.016621,-92.430550
Oskaloosa,IA,USA,41.299023,-92.653198
Newton,IA,USA,41.703957,-93.054817
Mount Pleasant,IA,USA,40.969242,-91.555420
Keokuk,IA,USA,40.407204,-91.410805
Grinnell,IA,USA,41.746952,-92.729362
Fort Dodge,IA,USA,42.512745,-94.188148
Estherville,IA,USA,43.403500,-94.843323
Dubuque,IA,USA,42.516033,-90.718506
Council Bluffs,IA,USA,41.250854,-95.882042
Clinton,IA,USA,41.827965,-90.249619
Cherokee,IA,USA,42.754681,-95.557831
Charles City,IA,USA,43.066807,-92.683464
Burlington,IA,USA,40.810947,-91.131844
Boone,IA,USA,42.060650,-93.885490
Wabash,IN,USA,40.800262,-85.830887
Vincennes,IN,USA,38.678299,-87.522491
Valparaiso,IN,USA,41.483845,-87.063965
Terre Haute,IN,USA,39.472298,-87.401917
Shelbyville,IN,USA,39.524483,-85.786476
Richmond,IN,USA,39.828354,-84.894196
Plymouth,IN,USA,41.345619,-86.316971
Peru,IN,USA,40.754417,-86.071426
New Castle,IN,USA,39.924065,-85.379021
New Albany,IN,USA,38.313908,-85.835434
Mishawaka,IN,USA,41.668530,-86.173042
Marion,IN,USA,40.556480,-85.682770
Kokomo,IN,USA,40.481205,-86.141815
Jeffersonville,IN,USA,38.279888,-85.740524
Greenfield,IN,USA,39.790737,-85.782951
Goshen,IN,USA,41.582092,-85.842979
Elwood,IN,USA,40.279053,-85.844749
East Chicago,IN,USA,41.649212,-87.472565
Crawfordsville,IN,USA,40.044075,-86.911057
Connersville,IN,USA,39.653687,-85.147896
Bloomington,IN,USA,39.168804,-86.536659
Bedford,IN,USA,38.866512,-86.511833
Zion,IL,USA,42.450806,-87.845978
Wood River,IL,USA,38.864758,-90.102638
Wheaton,IL,USA,41.860985,-88.124168
Waukegan,IL,USA,42.365627,-87.872139
Virden,IL,USA,39.501575,-89.772629
Vandalia,IL,USA,38.970127,-89.115585
Urbana,IL,USA,40.113159,-88.211105
Streator,IL,USA,41.130520,-88.844597
Shawneetown,IL,USA,37.717564,-88.189880
Rock Island,IL,USA,41.487076,-90.589691
Quincy,IL,USA,39.935490,-91.408241
Pontiac,IL,USA,40.880894,-88.642799
Petersburg,IL,USA,40.014156,-89.855278
Park Ridge,IL,USA,42.017452,-87.861786
Ottawa,IL,USA,41.345505,-88.848846
North Chicago,IL,USA,42.326439,-87.851089
Nauvoo,IL,USA,40.547890,-91.390503
Mount Vernon,IL,USA,38.319221,-88.925255
Monmouth,IL,USA,40.915249,-90.654694
Mattoon,IL,USA,39.485355,-88.390404
Macomb,IL,USA,40.458427,-90.677963
Lake Forest,IL,USA,42.245686,-87.867012
La Salle,IL,USA,41.362553,-89.065414
Kewanee,IL,USA,41.243195,-89.938240
Kankakee,IL,USA,41.123634,-87.872742
Herrin,IL,USA,37.805065,-89.038292
Harrisburg,IL,USA,37.736668,-88.559456
Galena,IL,USA,42.420296,-90.435600
Freeport,IL,USA,42.289551,-89.647018
East Saint Louis,IL,USA,38.616405,-90.159821
East Moline,IL,USA,41.511295,-90.460213
Dixon,IL,USA,41.845261,-89.491661
DeKalb,IL,USA,41.930370,-88.757355
Danville,IL,USA,40.144653,-87.634216
Collinsville,IL,USA,38.675953,-90.003471
Chicago Heights,IL,USA,41.510395,-87.644287
Chester,IL,USA,37.915825,-89.829262
Arkansas City,KS,USA,37.069611,-97.050720
Charleston,IL,USA,39.491936,-88.185867
Centralia,IL,USA,38.530453,-89.141502
Carthage,IL,USA,40.414780,-91.141708
Carlinville,IL,USA,39.280560,-89.890327
Canton,IL,USA,40.560329,-90.046028
Calumet City,IL,USA,41.611603,-87.551186
Cairo,IL,USA,37.007828,-89.184265
Bloomington,IL,USA,40.478821,-88.992706
Belvidere,IL,USA,42.259529,-88.865211
Alton,IL,USA,38.908852,-90.169662
Sun Valley,ID,USA,43.697662,-114.352829
Rexburg,ID,USA,43.825386,-111.792824
Pocatello,ID,USA,42.880363,-112.452911
Lewiston,ID,USA,46.392014,-117.010826
Kellogg,ID,USA,47.538658,-116.129227
Coeur d’Alene,ID,USA,47.702465,-116.796883
Caldwell,ID,USA,43.661766,-116.691559
Bonners Ferry,ID,USA,48.692551,-116.319862
Blackfoot,ID,USA,43.195194,-112.354530
Washington,GA,USA,33.740253,-82.745857
Warner Robins,GA,USA,32.615692,-83.633667
Toccoa,GA,USA,34.578903,-83.331581
Plains,GA,USA,32.033638,-84.398224
Gainesville,GA,USA,34.298409,-83.832855
Fort Valley,GA,USA,32.559334,-83.904587
Fitzgerald,GA,USA,31.717707,-83.262657
Douglas,GA,USA,31.504131,-82.867790
Darien,GA,USA,31.375116,-81.436729
Dalton,GA,USA,34.775517,-84.986244
Carrollton,GA,USA,33.584045,-85.101120
Brunswick,GA,USA,31.164404,-81.505600
Blairsville,GA,USA,34.878166,-83.961349
Bainbridge,GA,USA,30.903612,-84.585205
Americus,GA,USA,32.072433,-84.233978
Winter Park,FL,USA,28.598797,-81.358315
Venice,FL,USA,27.109644,-82.448792
Sebring,FL,USA,27.479319,-81.456017
Saint Augustine,FL,USA,29.908072,-81.324791
New Smyrna Beach,FL,USA,29.036013,-80.964966
Melbourne,FL,USA,28.118488,-80.670372
Lake City,FL,USA,30.189375,-82.648254
Hallandale Beach,FL,USA,25.987219,-80.153206
Fort Pierce,FL,USA,27.450266,-80.339951
Delray Beach,FL,USA,26.459763,-80.105545
Rockledge,FL,USA,28.316528,-80.746590
Boca Raton,FL,USA,26.376032,-80.122360
New Castle,DE,USA,39.668564,-75.586189
Milford,DE,USA,38.917534,-75.441925
Lewes,DE,USA,38.781082,-75.157150
Roswell,NM,USA,33.400322,-104.534897
West Haven,CT,USA,41.275898,-72.975739
Torrington,CT,USA,41.806595,-73.130592
Shelton,CT,USA,41.306583,-73.143768
Norwalk,CT,USA,41.121880,-73.436432
New Britain,CT,USA,41.681408,-72.794746
Middletown,CT,USA,41.562794,-72.681610
Belle Glade,FL,USA,26.687412,-80.681831
Bartow,FL,USA,27.891005,-81.847359
Atlantic City,NJ,USA,39.370121,-74.438942
Albany,GA,USA,31.594915,-84.224236
Jacksonville,IL,USA,39.741550,-90.256218
Idaho City,ID,USA,43.828850,-115.837860
Coral Gables,FL,USA,25.750156,-80.279640
Derby,CT,USA,41.329334,-73.094406
Bristol,CT,USA,41.685173,-72.962708
Ansonia,CT,USA,41.346439,-73.084938
Walsenburg,CO,USA,37.630322,-104.790543
Sterling,CO,USA,40.626743,-103.217026
Steamboat Springs,CO,USA,40.490429,-106.842384
Ouray,CO,USA,38.025131,-107.675880
Leadville,CO,USA,39.247478,-106.300194
Gunnison,CO,USA,38.547871,-106.938622
Fort Morgan,CO,USA,40.255306,-103.803062
Panama City,FL,USA,30.193626,-85.683029
Miami Beach,FL,USA,25.793449,-80.139198
Cripple Creek,CO,USA,38.749077,-105.183060
Central City,CO,USA,39.803318,-105.516830
Cañon City,CO,USA,38.444931,-105.245720
Brighton,CO,USA,39.969753,-104.836723
Stuttgart,AR,USA,34.497196,-91.560921
Osceola,AR,USA,35.705608,-89.992729
Newport,AR,USA,35.618671,-91.271286
Forrest City,AR,USA,35.010712,-90.797783
Crossett,AR,USA,33.132671,-91.971634
Camden,AR,USA,33.586617,-92.842979
Blytheville,AR,USA,35.934574,-89.926170
Window Rock,AZ,USA,35.678970,-109.067413
Globe,AZ,USA,33.395844,-110.793739
Palmer,AK,USA,61.600803,-149.125259
Tuskegee,AL,USA,32.429066,-85.715233
Troy,AL,USA,31.806484,-85.968628
Scottsboro,AL,USA,34.650826,-86.088501
Ozark,AL,USA,31.463181,-85.647202
Waukesha,WI,USA,43.018600,-88.259773
Jasper,AL,USA,33.834263,-87.280708
Guntersville,AL,USA,34.361664,-86.305595
Eufaula,AL,USA,31.898180,-85.160210
Enterprise,AL,USA,31.335653,-85.865448
Demopolis,AL,USA,32.510178,-87.855392
Atmore,AL,USA,31.025837,-87.506462
Alexander City,AL,USA,32.940945,-85.970024
Whittier,CA,USA,33.982506,-118.040962
South San Francisco,CA,USA,37.662937,-122.433014
Sausalito,CA,USA,37.865894,-122.498055
San Rafael,CA,USA,37.986076,-122.534752
San Marino,CA,USA,34.121300,-118.132607
San Luis Obispo,CA,USA,35.270378,-120.680656
Ojai,CA,USA,34.456936,-119.254440
Merced,CA,USA,37.325954,-120.499992
Marysville,CA,USA,39.152321,-121.593994
Martinez,CA,USA,37.997417,-122.133598
Malibu,CA,USA,34.031246,-118.788193
Lodi,CA,USA,38.130123,-121.290443
Garden Grove,CA,USA,33.785645,-117.973480
Eureka,CA,USA,40.785114,-124.183922
Culver City,CA,USA,34.010124,-118.415016
Coronado,CA,USA,32.631718,-117.136772
Claremont,CA,USA,34.132236,-117.739929
Buena Park,CA,USA,33.868900,-118.012741
Belmont,CA,USA,37.524174,-122.304199
Watervliet,NY,USA,42.729637,-73.708778
Utica,NY,USA,43.107204,-75.252312
Troy,NY,USA,42.728104,-73.687576
Fairfield,IA,USA,41.006950,-91.973419
Tonawanda,NY,USA,43.015190,-78.891663
Schenectady,NY,USA,42.813297,-73.941177
Saratoga Springs,NY,USA,43.083313,-73.809898
Rye,NY,USA,40.981613,-73.691925
Rome,NY,USA,43.227978,-75.484924
Rensselaer,NY,USA,42.644516,-73.747253
Plattsburgh,NY,USA,44.699764,-73.471428
Peekskill,NY,USA,41.292282,-73.930725
Oneida,NY,USA,43.095654,-75.669487
New Rochelle,NY,USA,40.922794,-73.791809
Mount Vernon,NY,USA,40.916695,-73.836815
Middletown,NY,USA,41.450123,-74.429253
Lockport,NY,USA,43.170048,-78.710464
Lackawanna,NY,USA,42.820339,-78.843399
Kingston,NY,USA,41.931828,-74.011108
Johnstown,NY,USA,43.010265,-74.383682
Gloversville,NY,USA,43.052845,-74.363762
Glens Falls,NY,USA,43.311825,-73.655975
Geneva,NY,USA,42.868473,-76.996490
Dunkirk,NY,USA,42.481365,-79.343887
Cortland,NY,USA,42.604729,-76.187370
Corning,NY,USA,42.148773,-77.062103
Cohoes,NY,USA,42.774475,-73.708412
South Lake Tahoe,CA,USA,38.936604,-119.986649
Binghamton,NY,USA,42.098843,-75.920647
Amsterdam,NY,USA,42.940933,-74.200806
Mason,OH,USA,39.368340,-84.329590
Carpinteria,CA,USA,34.395958,-119.521042
Madeira Beach,FL,USA,27.798244,-82.798462
Hoboken,NJ,USA,40.745255,-74.034775
Port Hueneme, CA, the US	34.155834	-119.202789
Auburn,NY,USA,42.933334,-76.566666
Jamestown, NY, the US	42.095554	-79.238609
Fulton,MO,USA,38.846668,-91.948059
Bedford, OH, the US	41.392502	-81.534447
Stuart,FL,USA,27.192223,-80.243057
San Angelo,TX,USA,31.442778,-100.450279
Woodbridge,NJ,USA,40.560001,-74.290001
Vista,CA,USA,33.193611,-117.241112
South Bend,IN,USA,41.676388,-86.250275
Davenport,IA,USA,41.543056,-90.590836
Sparks,NV,USA,39.554443,-119.735558
Green Bay,WI,USA,44.513332,-88.015831
San Mateo,CA,USA,37.554169,-122.313057
Tyler,TX,USA,32.349998,-95.300003
League City,TX,USA,29.499722,-95.089722
Lewisville,TX,USA,33.038334,-97.006111
Meridian,ID,USA,43.614166,-116.398888
Waterbury,CT,USA,41.556110,-73.041389
Jurupa Valley,CA,USA,34.000000,-117.483330
West Palm Beach,FL,USA,26.709723,-80.064163
Antioch,CA,USA,38.005001,-121.805832
High Point,NC,USA,35.970554,-79.997498
Miami Gardens,FL,USA,25.942122,-80.269920
Murrieta,CA,USA,33.569443,-117.202499
Springfield,IL,USA,39.799999,-89.650002
El Monte,CA,USA,34.073334,-118.027496
West Jordan,UT,USA,40.606388,-111.976112
College Station,TX,USA,30.601389,-96.314445
Fairfield,CA,USA,38.257778,-122.054169
Evansville,IN,USA,37.977222,-87.550552
Cambridge,MA,USA,42.373611,-71.110558
Richardson,TX,USA,32.965557,-96.715836
Berkeley,CA,USA,37.871666,-122.272781
Columbia,MO,USA,38.951561,-92.328636
Athens,GA,USA,33.950001,-83.383331
Lafayette,LA,USA,30.216667,-92.033333
Sterling Heights,MI,USA,42.580276,-83.030281
Visalia,CA,USA,36.316666,-119.300003
Hampton,VA,USA,37.034946,-76.360123
West Valley City,UT,USA,40.689167,-111.993889
Surprise,AZ,USA,33.630554,-112.366669
Thornton,CO,USA,39.903057,-104.954445
Miramar,FL,USA,25.978889,-80.282501
Murfreesboro,TN,USA,35.846111,-86.391945
Pasadena,CA,USA,34.156113,-118.131943
Bridgeport,CT,USA,41.186390,-73.195557
Paterson,NJ,USA,40.914745,-74.162827
Rockford, Il, the US	42.259445	-89.064445
Joliet,Illinois,USA,41.520557,-88.150558
Escondido,CA,USA,33.124722,-117.080833
Kansas City,KS,USA,39.106667,-94.676392
Springfield,MA,USA,42.101391,-72.590279
Springfield,MO,USA,37.210388,-93.297256
Corona,CA,USA,33.866669,-117.566666
Pembroke Pines,FL,USA,26.012501,-80.313614
Elk Grove,CA,USA,38.438332,-121.381943
Oceanside, CA, the US	33.211666	-117.325836
Newport News,VA,USA,37.070831,-76.484444
Sioux Falls, South Dakota, the US	43.536388	-96.731667
Vancouver,WA,USA,45.633331,-122.599998
Worcester,MA,USA,42.271389,-71.798889
Tallahassee,FL,USA,30.455000,-84.253334
Columbus,GA,USA,32.492222,-84.940277
Augusta,GA,USA,33.466667,-81.966667
Montgomery,AL,USA,32.361668,-86.279167
Aurora,IL,USA,41.763889,-88.290001
Amarillo,TX,USA,35.199165,-101.845276
Modesto,CA,USA,37.639492,-121.015099
Garland,TX,USA,32.907223,-96.635277
Irvine, CA, the US	33.669445	-117.823059
Aurora,CO,USA,39.710835,-104.812500
Arlington,TX,USA,32.705002,-97.122780
Kansas City,MO,USA,39.099724,-94.578331
Memphis,TN,USA,35.117500,-89.971107
Indianapolis,IN,USA,39.791000,-86.148003
Columbus,OH,USA,39.983334,-82.983330
Austin, TX, the US	30.266666	-97.733330
Dallas, TX, the US	32.779167	-96.808891
Redwood City,CA,USA,37.487846,-122.236115
Gastonia, NC,theUSA	35,255280	-81,180275
New Braunfels, TX,theUSA	29,700001	-98,116669
Palm Beach Gardens,FL,USA,26.838619,-80.129967
Forestville,CA,USA,38.473625,-122.889992
Houston,TX,USA,29.749907,-95.358421
Muncie,IN,USA,40.191891,-85.401695
Palm Springs,CA,USA,33.830517,-116.545601
Hot Springs,AR,USA,34.496212,-93.057220
Hackett,AR,USA,35.188503,-94.412239
Richmond,VA,USA,37.541290,-77.434769
Fayetteville,AR,USA,36.082157,-94.171852
Yuma,AZ,USA,32.698437,-114.650398
Peoria,AZ,USA,33.580944,-112.237068
Tempe,AZ,USA,33.427204,-111.939896
Diamond Bar,CA,USA,34.028622,-117.810333
Auburn,AL,USA,32.609856,-85.480782
Hoover,AL,USA,33.405746,-86.811546
Decatur,AL,USA,34.603817,-86.985039
Seward,AK,USA,60.102924,-149.442139
Bloomington,MN,USA,44.840797,-93.298279
Utqiagvik,AK,USA,71.290558,-156.788605
Milledgeville,GA,USA,33.080929,-83.228668
Fargo,ND,USA,46.877186,-96.789803
Odessa,TX,USA,31.845682,-102.367645
Orangeburg,SC,USA,33.493317,-80.855415
Rogers,AR,USA,36.333412,-94.125809
DeLand,FL,USA,29.028318,-81.303116
McAllen,TX,USA,26.203407,-98.230011
Foster,RI,USA,41.853710,-71.758125
Mannford,OK,USA,36.133411,-96.354454
Springfield,OH,USA,39.925751,-83.806694
Pasadena,TX,USA,29.691063,-95.209099
Lake Worth,FL,USA,26.616756,-80.068451
Novi,MI,USA,42.480591,-83.475494
Rochester,MN,USA,44.016369,-92.475395
London,KY,USA,37.129986,-84.084122
Sturgis, SouthDakota,USA,44.409706,-103.509079
Mandeville,LA,USA,30.358252,-90.065628
Mt Sterling,KY,USA,38.056469,-83.943253
Santa Clarita,CA,USA,34.391663,-118.542587
Overland Park,KS,USA,38.984764,-94.677658
St Cloud,MN,USA,45.560230,-94.172852
Monterey Park,CA,USA,34.062511,-118.122849
Sanford,NC,USA,35.479961,-79.180580
Sanford,FL,USA,28.807674,-81.274948
Juneau,AK,USA,58.305801,-134.433304
Albany,OR,USA,44.636513,-123.105927
Santee,CA,USA,32.838383,-116.973915
Bay Point,CA,USA,38.033878,-121.960709
Longmont,CO,USA,40.167206,-105.101929
Issaquah,WA,USA,47.530102,-122.032616
Akron,OH,USA,41.081757,-81.511452
Hammond,IN,USA,41.584660,-87.500160
Youngstown,OH,USA,41.102970,-80.647247
Hugo,MN,USA,45.159966,-92.993340
Yorba Linda,CA,USA,33.888504,-117.813255
Rapid City,SD,USA,44.080544,-103.231018
Ithaca,NY,USA,42.443962,-76.501884
Hillsboro,OR,USA,45.522896,-122.989830
Elkhart,IN,USA,41.681992,-85.976669
Providence,RI,USA,41.825226,-71.418884
Rancho Cucamonga,CA,USA,34.110489,-117.594429
Orange,CA,USA,33.787914,-117.853104
Madison,WI,USA,43.073051,-89.401230
Yonkers,NY,USA,40.931210,-73.898750
Indio,CA,USA,33.720577,-116.215561
Jersey City,NJ,USA,40.719074,-74.050552
Bradenton,FL,USA,27.498928,-82.574821
South Burlington,VT,USA,44.466995,-73.170959
Long Beach,CA,USA,33.770050,-118.193741
Greenville,NC,USA,35.612659,-77.366356
Edison,NJ,USA,40.522964,-74.411674
Jonesboro,AR,USA,35.835575,-90.705025
Turrell,AR,USA,35.379807,-90.257874
Racine,WI,USA,42.722702,-87.784225
Las Cruces,NM,USA,32.346596,-106.787720
Alameda,CA,USA,37.765205,-122.241638
Walnut Creek,CA,USA,37.910076,-122.065186
Naples,FL,USA,26.177624,-81.806946
Temecula,CA,USA,33.487007,-117.143784
Bozeman,MT,USA,45.676998,-111.042931
Eastlake,OH,USA,41.653934,-81.450394
Yakima,WA,USA,46.602070,-120.505898
Dunedin,FL,USA,28.018349,-82.764473
St Paul,MN,USA,44.949642,-93.093124
St. Augustine,FL,USA,29.901243,-81.312431
Kent,WA,USA,47.380932,-122.234840
Dearborn Heights,MI,USA,42.336983,-83.273262
Chester,SC,USA,34.704929,-81.210251